File								Snippet #
-------------------------------------------------------------------------
Page2.h: CMFCColorBar                                                1
Page2.cpp: CMFCColorBar                                              2
Page2.cpp: CMFCColorDialog                                           3
Page2.h: CMFCColorPickerCtrl                                         4
Page2.cpp: CMFCColorPickerCtrl                                       5
Page3.h: CMFCEditBrowseCtrl                                          6
Page3.cpp: CMFCEditBrowseCtrl                                        7
Page3.cpp: CMFCImageEditorDialog                                     8
Page3.h: CMFCLinkCtrl                                                9
Page3.cpp: CMFCLinkCtrl                                              10
Page4.h: CMFCMaskedEdit                                              11
Page4.cpp: CMFCMaskedEdit                                            12
Page5.cpp: CMFCPropertyGridColorProperty                             13
Page5.h: CMFCPropertyGridCtrl                                        14
Page5.cpp: CMFCPropertyGridCtrl                                      15
Page5.cpp: CMFCPropertyGridCtrl                                      16
Page5.cpp: CMFCPropertyGridCtrl                                      17
Page5.cpp: CMFCPropertyGridCtrl                                      18
Page5.cpp: CMFCPropertyGridCtrl                                      19
Page5.cpp: CMFCPropertyGridCtrl                                      20
Page5.cpp: CMFCPropertyGridCtrl                                      21
Page5.cpp: CMFCPropertyGridCtrl                                      22
Page5.cpp: CMFCPropertyGridCtrl                                      23
Page5.cpp: CMFCPropertyGridCtrl                                      24
Page5.cpp: CMFCPropertyGridCtrl                                      25
Page5.cpp: CMFCPropertyGridFontProperty                              26
Page5.cpp: CMFCPropertyGridProperty                                  27
Page1.h: CMFCButton                                                  28
Page1.cpp: CMFCButton                                                29
Page1.cpp: CMFCButton                                                30
Page1.cpp: CMFCButton                                                31
Page1.cpp: CMFCButton                                                32
Page1.cpp: CMFCButton                                                33
Page3.h: CMFCFontComboBox                                            34
Page3.cpp: CMFCFontComboBox                                          35
Page3.cpp: CMFCFontComboBox                                          36
CustomProperties.cpp: CDrawingManager::FillGradient2                 37
Page1.h: CMFCMenuButton                                              38
Page1.cpp: CMFCMenuButton                                            39
Page3.cpp: CMFCImageEditorDialog                                     40
