File								Snippet #
-------------------------------------------------------------------------
MainFrm.cpp                                                         1
MainFrm.cpp                                                         2
MainFrm.cpp                                                         3
MainFrm.cpp                                                         4
MainFrm.cpp                                                         5
MainFrm.cpp                                                         6
MainFrm.cpp                                                         7
MainFrm.cpp                                                         8
MainFrm.cpp                                                         9
MainFrm.cpp                                                         10
MainFrm.cpp                                                         11
MainFrm.cpp                                                         12
MainFrm.cpp                                                         13
MainFrm.cpp                                                         14
MainFrm.cpp                                                         15
MainFrm.cpp                                                         16
MainFrm.cpp                                                         17
MainFrm.cpp                                                         18
MainFrm.cpp                                                         19
MainFrm.cpp:CMemDC                                                  20
MainFrm.cpp: CMFCRibbonQuickAccessToolBarDefaultState               21
MainFrm.cpp: CMFCRibbonCustomizePropertyPage                        22
MainFrm.cpp: CMFCPropertyGridToolTipCtrl                            23
MainFrm.cpp: CMFCHeaderCtrl                                         24
MainFrm.cpp: CMFCSpinButtonCtrl                                     25
MainFrm.cpp: CDockingPanesRow                                       26
MainFrm.cpp: CDockSite                                              27
MainFrm.cpp: CMFCTasksPane                                          28
MainFrm.cpp: CAutoHideDockSite                                      29
MainFrm.cpp: CMFCAcceleratorKey                                     30
MainFrm.cpp: CMFCAcceleratorKeyAssignCtrl                           31
MainFrm.cpp: CMFCAutoHideButton                                     32
MainFrm.cpp: CSettingsStoreSP                                       33
MainFrm.cpp: CMFCColorPopupMenu                                     34
MainFrm.cpp: CMFCCustomColorsPropertyPage                           35
MainFrm.cpp: CMFCDropDownFrame                                      36
MainFrm.cpp: CMFCImagePaintArea                                     37
MainFrm.cpp: CMFCDropDownListBox                                    38
MainFrm.cpp: CMFCTabDropTarget                                      39
MainFrm.cpp: CMFCToolBarEditBoxButton                               40
MainFrm.cpp: CMFCToolTipCtrl                                        41
MainFrm.cpp: CMFCToolTipInfo                                        42
MainFrm.cpp: CMFCCaptionButton                                      43
MainFrm.cpp: CMFCColorPropertySheet                                 44
