File								Snippet #
-------------------------------------------------------------------------
EnableUserTools								1
CMDIChildWndEx::IsReadOnly						2
CMDIChildWndEx Class							3
CMDIFrameWndEx::DockPane						4
CMDIFrameWndEx::DockPaneLeftOf						5
CMDIFrameWndEx::EnableAutoHidePanes					6
CMDIFrameWndEx::EnableDocking						7
CMDIFrameWndEx::EnableMDITabbedGroups etc.				8
CMDIFrameWndEx::EnablePaneMenu						9
CMDIFrameWndEx::EnableWindowsDialog					10
CMDIFrameWndEx::LoadMDIState						11
CMDIFrameWndEx::MDITabNewGroup						12
CMDIFrameWndEx::m_bCanCovertControlBarToMDIChild			13
CMDIFrameWndEx::OnShowMDITabContextMenu					14
CMDIFrameWndEx::SaveMDIState						15
CMDIFrameWndEx::ShowPane						16
CMDIChildWndEx::GetDocumentName						17
CMDIFrameWndEx::ShowWindowsDialog					18
CMDIFrameWndEx::TabbedDocumentToControlBar				19
CMDIFrameWndEx::CreateDocumentWindow					20
MainFrm.cpp: CMFCKeyMapDialog constructor                               21
PropertiesViewBar.cpp: CMFCPropertyGridFileProperty                     22
OptionsDlg.cpp: CMFCPropertySheetCategoryInfo                           23
MainFrm.cpp: CDockingManager                                            24
WatchBar.h: CMFCListCtrl                                                25
WatchBar.cpp: CMFCListCtrl                                              26
OutputView.cpp: CDockablePane                                           27
OutputView.cpp: CDockablePane                                           28
MainFrm.h: CMFCDropDownToolBar                                          29
MainFrm.cpp: CMFCDropDownToolBar                                        30
MainFrm.cpp: CMFCDropDownToolBarButton                                  31
StartView.h: CMFCToolBarImages                                          32
StartView.cpp: CMFCToolBarImages                                        33
MainFrm.cpp: CMFCToolBarsCustomizeDialog::ReplaceButton                 34
MainFrm.cpp: CUserTool                                                  35
MainFrm.cpp: CMFCToolBarComboBoxButton                                  36
MainFrm.cpp: CMFCToolBarComboBoxButton                                  37
MainFrm.cpp: CUserToolsManager                                          38
