File								Snippet #
-------------------------------------------------------------------------
ipframe.cpp                                                         1
mainfrm.cpp                                                         2
MainFrm.h: CFrameWndEx                                              3
mainfrm.cpp: CFrameWndEx                                            4
formatba.h:CMFCColorMenuButton                                      5
formatba.cpp:CMFCColorMenuButton                                    6
formatba.cpp: CMFCToolBarFontComboBox: constructor                  7
wordpvw.cpp: CMFCToolBarFontSizeComboBox                            8
formatba.cpp: CMFCToolBarMenuButton: constructor                    9
formatba.cpp: CMFCToolBarMenuButton                                 10
mainfrm.cpp: CMFCToolBarsCustomizeDialog::AddToolBar                11
wordpad.cpp: CMenuTearOffManager                                    12
